entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,TOTAL
México,subdel,Entre 30 y 35 años,202507,2320,2202,118,0,109,103,6,0,109
México,subdel,Entre 35 y 40 años,202507,1613,1522,91,0,77,77,0,0,77
México,subdel,Entre 40 y 45 años,202507,876,830,46,0,46,42,4,0,46
México,subdel,Entre 45 y 50 años,202507,547,524,23,0,33,32,1,0,33
México,subdel,Entre 50 y 55 años,202507,304,287,17,0,15,15,0,0,15
México,subdel,Entre 55 y 60 años,202507,168,162,6,0,11,11,0,0,11
México,subdel,Entre 60 y 65 años,202507,68,67,1,0,4,4,0,0,4
México,subdel,Entre 65 y 70 años,202507,32,31,1,0,2,2,0,0,2
México,subdel,Entre 70 y 75 años,202507,6,6,0,0,0,0,0,0,0
México,subdel,75 años y más,202507,5302,4776,526,0,99,95,4,0,99
