entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_NB,PTPD_Puestos_M
Morelos,subdel,Entre 65 y 70 años,202510,42,41,1,0,3,3,0,0
Morelos,subdel,Entre 70 y 75 años,202510,17,17,0,0,1,1,0,0
México,subdel,75 años y más,202510,7528,6792,736,0,183,170,0,13
México,subdel,Entre 15 y 20 años,202510,3163,2931,232,0,49,46,0,3
México,subdel,Entre 20 y 25 años,202510,31642,28878,2764,0,1084,1034,0,50
México,subdel,Entre 25 y 30 años,202510,33932,30972,2960,0,2070,1988,0,82
México,subdel,Entre 30 y 35 años,202510,27685,25335,2350,0,2390,2286,0,104
México,subdel,Entre 35 y 40 años,202510,17164,15735,1429,0,1967,1889,0,78
México,subdel,Entre 40 y 45 años,202510,9084,8300,784,0,1187,1135,0,52
México,subdel,Entre 45 y 50 años,202510,5473,5029,444,0,869,837,0,32
México,subdel,Entre 50 y 55 años,202510,3012,2793,219,0,546,530,0,16
México,subdel,Entre 55 y 60 años,202510,1535,1434,101,0,281,277,0,4
México,subdel,Entre 60 y 65 años,202510,711,675,36,0,111,110,0,1
México,subdel,Entre 65 y 70 años,202510,246,235,11,0,46,46,0,0
México,subdel,Entre 70 y 75 años,202510,59,55,4,0,12,12,0,0
Nayarit,subdel,75 años y más,202510,457,429,28,0,12,11,0,1
Nayarit,subdel,Entre 15 y 20 años,202510,172,160,12,0,6,6,0,0
Nayarit,subdel,Entre 20 y 25 años,202510,2116,1952,164,0,134,129,0,5
Nayarit,subdel,Entre 25 y 30 años,202510,2564,2380,184,0,209,203,0,6
Nayarit,subdel,Entre 30 y 35 años,202510,2514,2307,207,0,281,268,0,13
Nayarit,subdel,Entre 35 y 40 años,202510,2193,1988,205,0,292,274,0,18
Nayarit,subdel,Entre 40 y 45 años,202510,1706,1562,144,0,267,256,0,11
Nayarit,subdel,Entre 45 y 50 años,202510,1216,1110,106,0,192,181,0,11
Nayarit,subdel,Entre 50 y 55 años,202510,808,749,59,0,157,152,0,5
Nayarit,subdel,Entre 55 y 60 años,202510,455,430,25,0,80,77,0,3
Nayarit,subdel,Entre 60 y 65 años,202510,233,220,13,0,41,41,0,0
Nayarit,subdel,Entre 65 y 70 años,202510,99,94,5,0,21,21,0,0
Nayarit,subdel,Entre 70 y 75 años,202510,27,26,1,0,4,4,0,0
Nuevo León,subdel,75 años y más,202510,1415,1221,194,0,72,69,0,3
Nuevo León,subdel,Entre 15 y 20 años,202510,2399,2200,199,0,125,118,0,7
Nuevo León,subdel,Entre 20 y 25 años,202510,13285,11872,1413,0,1148,1107,0,41
Nuevo León,subdel,Entre 25 y 30 años,202510,15628,13741,1887,0,1915,1817,0,98
Nuevo León,subdel,Entre 30 y 35 años,202510,15523,13621,1902,0,2432,2314,0,118
Nuevo León,subdel,Entre 35 y 40 años,202510,12465,10963,1502,0,2327,2180,0,147
Nuevo León,subdel,Entre 40 y 45 años,202510,9922,8713,1209,0,2206,2059,0,147
Nuevo León,subdel,Entre 45 y 50 años,202510,6901,6134,767,0,1713,1617,0,96
Nuevo León,subdel,Entre 50 y 55 años,202510,4457,3950,507,0,1296,1220,0,76
Nuevo León,subdel,Entre 55 y 60 años,202510,2586,2367,219,0,788,749,0,39
Nuevo León,subdel,Entre 60 y 65 años,202510,1249,1163,86,0,361,350,0,11
Nuevo León,subdel,Entre 65 y 70 años,202510,406,380,26,0,108,107,0,1
Nuevo León,subdel,Entre 70 y 75 años,202510,92,83,9,0,21,20,0,1
Oaxaca,subdel,75 años y más,202510,606,546,60,0,21,19,0,2
Oaxaca,subdel,Entre 15 y 20 años,202510,263,240,23,0,4,3,0,1
