CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
8,Servicios para empresas,Jalisco,202507,Entre 25 y 30 años,293.987142857,312.069793103,3022,2886,136,0,152,145,7,0
8,Servicios para empresas,Jalisco,202507,Entre 30 y 35 años,306.862,301.096271186,2935,2746,189,0,187,177,10,0
8,Servicios para empresas,Jalisco,202507,Entre 35 y 40 años,278.8,295.974821429,2634,2435,199,0,170,168,2,0
8,Servicios para empresas,Jalisco,202507,Entre 40 y 45 años,278.8,291.151292517,2031,1896,135,0,154,147,7,0
8,Servicios para empresas,Jalisco,202507,Entre 45 y 50 años,278.8,285.768461538,1468,1370,98,0,119,117,2,0
8,Servicios para empresas,Jalisco,202507,Entre 50 y 55 años,278.8,291.010533333,1022,962,60,0,77,75,2,0
8,Servicios para empresas,Jalisco,202507,Entre 55 y 60 años,278.8,281.226666667,587,563,24,0,67,66,1,0
8,Servicios para empresas,Jalisco,202507,Entre 60 y 65 años,,280.954666667,244,240,4,0,15,15,0,0
8,Servicios para empresas,Jalisco,202507,Entre 65 y 70 años,,278.8,82,80,2,0,4,4,0,0
8,Servicios para empresas,Jalisco,202507,Entre 70 y 75 años,,278.8,18,18,0,0,1,1,0,0
7,Transportes y comunicaciones,Jalisco,202507,75 años y más,319.116,351.516363636,2268,2057,211,0,93,88,5,0
7,Transportes y comunicaciones,Jalisco,202507,Entre 15 y 20 años,391.266666667,355.784477612,1951,1793,158,0,70,67,3,0
7,Transportes y comunicaciones,Jalisco,202507,Entre 20 y 25 años,339.974893617,362.954077892,15435,13965,1470,0,920,873,47,0
